"jitter","shimmer"
0.05541,0.11698
0.0642,0.12054
0.05804,0.18944
0.04337,0.11532
0.04756,0.15872
0.0334,0.10761
0.03597,0.0865
0.05166,0.10246
0.05608,0.08355
0.0359,0.09475
0.05299,0.11995
0.06034,0.12637
0.04773,0.12492
0.0362,0.07373
0.02653,0.05397
0.05375,0.1894
0.05156,0.08542
0.04107,0.18001
0.05826,0.13403
0,0
0,0
0.06629,0.08335
0.05472,0.18496
0.03279,0.07
0,0
0.0406,0.11637
0.03523,0.05114
0.04838,0.07226
0.04123,0.09534
0.04005,0.10912
0.02041,0.05081
0.04088,0.12119
0,0
0.05708,0.16349
0.05742,0.26346
0.03919,0.20349
0.05276,0.09635
0.04263,0.06532
0.06425,0.08831
0.04403,0.04477
0.04328,0.09905
0.0752,0.06636
0.04402,0.04844
0.06712,0.0714
0.06819,0.09913
0.09956,0.11951
0.04731,0.09754
0.05312,0.07443
0.03599,0.07343
0,0
0.04231,0.05733
0.05881,0.15177
0.03993,0.08746
0.03253,0.03744
0.05956,0.06526
0,0
0.03789,0.10294
0,0
0.05622,0.12419
0.04568,0.13343
0,0
0,0
0.07712,0.13381
0,0
0.03734,0.11879
0,0
0.04267,0.04363
0.0806,0.41223
0,0
0.04075,0.12977
0,0
0,0
0.05156,0.17428
0.043,0.09216
0.05405,0.10416
0.06836,0.08094
0.03932,0.09317
0.03791,0.15228
0.05254,0.09144
0.06105,0.11538
0.03745,0.10294
0.0443,0.06287
0,0
0,0
0.04445,0.11896
0.0373,0.03448
0,0
0.05361,0.20106
0.04191,0.10968
0.03217,0.12018
0,0
0.03812,0.06662
0.05736,0.2503
0.03246,0.10722
0,0
0.03006,0.0902
0,0
0.0277,0.04702
0.04437,0.11192
0.02608,0.05462
0.03971,0.08164
0.03063,0.04978
0,0
0.03031,0.122
0.0907,0.18668
0.02895,0.05302
0.05013,0.10518
0,0
0.0492,0.06691
0,0
0.05014,0.08125
0,0
0.05438,0.06521
0.05267,0.13054
0.06196,0.07695
0.04713,0.0669
0.03597,0.08986
0.06004,0.1163
0.05262,0.13478
0.04875,0.06265
0.04969,0.13381
0.04355,0.0598
0.04972,0.07027
0.05315,0.10476
0.06413,0.11497
0.03788,0.07288
0.04671,0.0896
0.04602,0.09798
0.04516,0.05343
0.02563,0.11622
0.05025,0.09363
0.04855,0.10658
0.03696,0.07141
0.07039,0.0995
0.0416,0.1347
0.03332,0.04176
0.05027,0.11686
0.0756,0.06938
0.05003,0.12937
0.07427,0.10598
0.04109,0.11629
0.04532,0.03687
0.06013,0.06638
0.04606,0.07462
0.06629,0.07256
0,0
0,0
0.05327,0.04947
0.03089,0.04046
0.03292,0.06443
0.04016,0.06801
0.02951,0.0758
0.04444,0.08948
