"speaker";"Unvoiced Count"
"F27-R";9
"F43-C";3
"F47-C";2
"F01-R";10
"F14-R";6
"F12-C";2
"F50-R";1
"F44-R";3
"F29-C";3
"F56-C";1
"F42-C";2
"F47-R";3
"F08-R";3
"F15-R";1
"F38-R";1
"F57-R";6
"F59-C";1
"F41-C";2
"F28-C";1
"F20-C";3
"F07-R";2
"F45-C";3
"F05-C";1
"F36-R";2
"F25-C";1
"F36-C";1
"F01-C";5
"F17-R";1
"F53-R";2
"F46-R";2
"F28-R";2
"F18-R";1
"F13-R";4
"F09-R";2
"F32-R";4
"F19-C";3
"F46-C";2
"F52-C";6
"F16-C";2
"F06-C";2
"F18-C";1
"F10-R";1
"F51-C";1
"F48-R";1
"F33-C";1
"F17-C";1
"F48-C";3
"F45-R";3
"F52-R";2
"F37-R";1
"F32-C";1
"F20-R";2
"F57-C";2
"F02-C";2
"F55-C";2
"F40-R";1
"F13-C";4
"F16-R";1
"F24-C";1
"F50-C";2
"F11-R";1
"F59-R";1
"F49-C";1
"F42-R";1
